name2	#name
PKP1	NM_000299
C1orf141	NM_001276351
C1orf141	NM_001276352
PKP1	NM_001005337
C1orf141	NR_075077
RERE	NM_001042681
HIVEP3	NR_038261
RERE	NM_001042682
CSMD2	NM_052896
RERE	NM_012102
CSMD2	NM_001281956
GLMN	NM_001319683
SLC44A5	NM_001320285
SLC44A5	NM_001130058
SLC44A5	NM_001320287
GLMN	NM_053274
GLMN	NR_135089
SLC44A5	NM_152697
SLC44A5	NM_001320283
TTLL7	NM_001350214
MAN1A2	NM_006699
TTLL7	NM_001350215
TTLL7	NM_024686
MPZL1	NM_001146191
MPZL1	NM_024569
C1orf21	NM_030806
ANXA9	NM_003568
RGS2-AS1	NR_126003
COP1	NM_001001740
MPZL1	NM_003953
COP1	NM_022457
COP1	NM_001286644
SDCCAG8	NM_001350246
HSD11B1-AS1	NR_134509
HSD11B1-AS1	NR_134510
HSD11B1	NM_181755
SDCCAG8	NM_001350249
SDCCAG8	NM_001350251
SDCCAG8	NM_001350247
SDCCAG8	NM_001350248
SDCCAG8	NM_006642
HSD11B1	NM_005525
HSD11B1	NM_001206741
AGRN	NM_198576
ACOT7	NM_181864
CAMTA1	NM_015215
PRDM16	NM_022114
CAMTA1	NM_001349610
PRKCZ	NM_001033581
CAMTA1	NM_001349608
CAMTA1	NM_001349612
CAMTA1	NM_001349609
PRKCZ	NM_001350806
PRKCZ	NM_001350805
AGRN	NM_001364727
PRDM16	NM_199454
PRKCZ	NM_001242874
PRKCZ	NM_002744
ACOT7	NM_007274
PRKCZ	NM_001350804
PRKCZ	NM_001350803
AGRN	NM_001305275
ACOT7	NM_181865
ACOT7	NM_181866
PRKCZ	NR_146911
PEX14	NM_004565
DHRS3	NM_004753
DISP3	NM_020780
DHRS3	NM_001319225
PLEKHM2	NM_015164
DHRS3	NM_001324370
KAZN	NM_201628
KAZN	NM_015209
KAZN	NM_001370230
EIF4G3	NM_001198801
ALDH4A1	NM_001319218
EIF4G3	NM_001198802
PLA2G2E	NM_014589
ALDH4A1	NM_003748
KDM1A	NM_015013
EIF4G3	NM_001198803
ALDH4A1	NM_001161504
EIF4G3	NM_003760
ACTL8	NM_030812
ALDH4A1	NM_170726
KDM1A	NM_001009999
KDM1A	NM_001363654
WDTC1	NM_015023
WDTC1	NM_001276252
TRIT1	NR_132401
TRIT1	NR_132402
TRIT1	NR_132403
TRIT1	NR_132404
TRIT1	NR_132405
TRIT1	NR_132406
TRIT1	NR_132407
TRIT1	NR_132408
TRIT1	NR_132409
TRIT1	NR_132410
TRIT1	NR_132412
TRIT1	NR_132413
TRIT1	NR_132414
TRIT1	NR_132415
TRIT1	NM_001312692
TRIT1	NM_001312691
EPHA10	NM_001099439
TRIT1	NM_017646
LOC101929626	NR_125987
AGBL4	NM_032785
PDZK1IP1	NM_005764
ZSWIM5	NM_020883
AGBL4	NR_136623
P3R3URF-PIK3R3	NM_001303427
PIK3R3	NM_001328648
SLC5A9	NM_001135181
AGBL4	NM_001323573
AGBL4	NM_001323574
SLC5A9	NM_001011547
AGBL4	NM_001323575
TUT4	NM_015269
DAB1	NM_001353980
EPS15	NM_001981
EPS15	NM_001159969
TUT4	NM_001009881
DAB1	NM_021080
LOC101926964	NR_110628
PDE4B	NM_001037340
JAK1	NM_001321852
ROR1	NM_005012
JAK1	NM_001321853
PDE4B	NM_001037341
JAK1	NM_001321854
PDE4B	NM_001297441
PDE4B	NM_001297440
PDE4B	NM_002600
ROR1	NM_001083592
PATJ	NM_001350145
PATJ	NM_176877
GNG12-AS1	NR_040077
FPGT-TNNI3K	NM_001199327
TNNI3K	NM_015978
FPGT-TNNI3K	NM_001112808
WLS	NM_001193334
WLS	NM_001002292
WLS	NM_024911
ADGRL2	NM_001366004
ADGRL2	NM_001366003
ST6GALNAC3	NM_001160011
ST6GALNAC3	NM_001349111
ZZZ3	NM_015534
ST6GALNAC3	NM_001349105
ST6GALNAC3	NM_001349109
ADGRL2	NM_001297704
IFI44L	NM_001375646
IFI44L	NM_001375647
IFI44L	NM_001375648
IFI44L	NM_001375649
IFI44L	NM_001375650
IFI44L	NM_006820
ST6GALNAC3	NM_001349108
ADGRL2	NM_001366008
ST6GALNAC3	NM_152996
ST6GALNAC3	NM_001349107
ST6GALNAC3	NM_001349106
ST6GALNAC3	NM_001349110
ZZZ3	NM_001308237
ST6GALNAC3	NR_146056
ZZZ3	NM_001376153
ZZZ3	NM_001376154
ZZZ3	NM_001376155
ZZZ3	NR_164776
ZZZ3	NR_164777
ZZZ3	NM_001376146
ZZZ3	NM_001376147
ZZZ3	NM_001376148
ZZZ3	NM_001376149
ZZZ3	NM_001376151
ZZZ3	NM_001376156
ZZZ3	NR_164775
COL24A1	NR_146343
COL24A1	NR_146344
COL24A1	NR_146345
COL24A1	NM_001349955
COL24A1	NR_146340
MCOLN2	NM_153259
HS2ST1	NM_012262
HS2ST1	NM_001134492
MCOLN2	NM_001330647
COL24A1	NM_152890
COL24A1	NR_146341
COL24A1	NR_146342
CCDC18-AS1	NR_034089
MIR548N	NR_031666
DPYD	NM_000110
LINC01397	NR_126382
NGF-AS1	NR_157569
CEPT1	NM_001330743
ATP1A1	NM_000701
CEPT1	NR_138483
ATP1A1	NM_001160234
ATP1A1	NM_001160233
CEPT1	NR_138484
CEPT1	NM_006090
CEPT1	NR_138485
CEPT1	NM_001007794
LOC100996724	NR_144516
LOC100996724	NR_144517
SRGAP2-AS1	NR_104189
HYDIN2	NR_103556
PDE4DIP	NM_001195260
OTUD7B	NM_020205
PDE4DIP	NM_001195261
RNF115	NM_014455
PDE4DIP	NM_022359
PDE4DIP	NM_001350521
PDE4DIP	NM_001377392
PDE4DIP	NM_001198832
PDE4DIP	NM_001350522
PDE4DIP	NM_001350523
PDE4DIP	NM_001377393
PDE4DIP	NM_001002810
PDE4DIP	NM_001002812
PDE4DIP	NM_001198834
PDE4DIP	NM_014644
MUC1	NM_001204293
MUC1	NM_001204292
NUP210L	NM_207308
PMF1-BGLAP	NM_001199664
MUC1	NM_001044393
MUC1	NM_001044392
PMF1-BGLAP	NM_001199661
MUC1	NM_001204297
MUC1	NM_001204285
PMF1	NM_001199653
PMF1	NM_007221
MUC1	NM_001204288
PMF1	NM_001199654
MUC1	NM_001204291
MUC1	NM_001204289
MUC1	NM_001204290
PMF1-BGLAP	NM_001199662
PMF1-BGLAP	NM_001199663
MUC1	NM_001204286
MUC1	NM_001204287
MUC1	NM_001018017
NUP210L	NM_001159484
MUC1	NM_001018016
MUC1	NM_002456
MUC1	NM_001044390
MUC1	NM_001044391
MUC1	NM_001204296
MUC1	NM_001204295
MUC1	NM_001204294
MUC1	NM_001371720
UHMK1	NM_144624
PBX1	NM_001204961
PBX1	NM_002585
PBX1	NM_001353131
PBX1	NM_001204963
PBX1	NM_001353130
UHMK1	NM_001184763
UHMK1	NM_175866
ALDH9A1	NM_001365774
ALDH9A1	NM_000696
DNM3	NM_015569
DNM3	NM_001350206
TNN	NM_022093
DNM3	NM_001136127
SCYL3	NM_020423
DNM3	NM_001278252
DNM3	NM_001350205
DNM3	NM_001350204
SCYL3	NM_181093
DNM3	NR_146559
SMG7	NM_001331007
SOAT1	NM_003101
SMG7	NM_001174061
SMG7	NM_001375584
RGSL1	NM_001366934
SMG7	NM_001350220
SOAT1	NM_001252512
SMG7	NM_201568
SMG7	NM_001350221
SMG7	NM_173156
SMG7	NM_001375585
SOAT1	NR_045530
SMG7	NM_001350222
SOAT1	NM_001252511
SMG7	NM_201569
SMG7	NM_001350219
BRINP2	NM_021165
RGSL1	NM_001137669
ACBD6	NM_032360
RASAL2	NM_170692
LINC01350	NR_110793
LINC01724	NR_146895
ASPM	NM_001206846
LINC02789	NR_147896
NEK7	NM_133494
ASPM	NM_018136
PPP1R12B	NM_001167857
CDK18	NM_002596
PPP1R12B	NM_001167858
CDK18	NM_212503
PPP1R12B	NM_001331029
PPP1R12B	NM_002481
RASSF5	NM_182665
RASSF5	NM_182664
CR1	NM_000651
RASSF5	NM_182663
CDK18	NM_212502
CR1	NM_000573
PIK3C2B	NM_001377334
PIK3C2B	NM_001377335
PIK3C2B	NM_002646
LPGAT1	NM_014873
PROX1-AS1	NR_037850
ESRRG	NM_001350125
KCNH1	NM_002238
ESRRG	NM_001243507
ESRRG	NM_001350122
ESRRG	NM_001350123
FLVCR1	NM_014053
LPGAT1	NM_001320808
ESRRG	NM_001243505
ESRRG	NM_001350124
ESRRG	NM_206595
KCNH1	NM_172362
ESRRG	NM_001243511
ESRRG	NM_001243509
ESRRG	NM_206594
ESRRG	NM_001243510
ESRRG	NM_001243506
ESRRG	NM_001134285
LPGAT1	NM_001375842
LPGAT1	NM_001375845
LPGAT1	NM_001375841
LPGAT1	NM_001375844
USH2A	NM_206933
SUSD4	NM_001037175
LYPLAL1-DT	NR_038845
RAB3GAP2	NM_012414
WDR26	NM_025160
SUSD4	NM_017982
WDR26	NM_001115113
DISC1	NM_018662
TSNAX-DISC1	NR_028400
TSNAX-DISC1	NR_028394
TSNAX-DISC1	NR_028395
TSNAX-DISC1	NR_028396
TSNAX-DISC1	NR_028397
TSNAX-DISC1	NR_028398
TSNAX-DISC1	NR_028393
DISC1	NM_001164538
DISC1	NM_001164542
DISC1	NM_001164544
DISC1	NM_001164545
DISC1	NM_001164546
DISC1	NM_001164548
DISC1	NM_001164547
URB2	NM_001314021
DISC1	NM_001164551
DISC1	NM_001164555
DISC1	NM_001164539
DISC1	NM_001164540
DISC1	NM_001164541
DISC1	NM_001012959
DISC1	NM_001164556
DISC1	NM_001164537
COG2	NM_007357
COG2	NM_001145036
DISC1	NM_001164549
URB2	NM_014777
DISC1	NM_001012957
FMN2	NM_001305424
RGS7	NM_001374811
FMN2	NM_020066
RGS7	NM_001282773
RGS7	NM_001374808
RGS7	NM_001350116
RGS7	NM_001350113
RGS7	NM_001374813
RGS7	NM_001374814
RGS7	NM_001350115
RGS7	NM_001374809
RGS7	NM_001364886
RGS7	NM_001282775
RGS7	NM_001374810
RGS7	NM_001350114
FMN2	NM_001348094
RGS7	NM_001374807
RGS7	NM_001282778
RGS7	NM_002924
RGS7	NM_001374815
RGS7	NM_001374816
RGS7	NM_001374806
PLD5	NM_001195812
PLD5	NM_001320272
RGS7	NM_001374812
PLD5	NM_001195811
PLD5	NM_001372062
SMYD3	NM_001167740
KIF26B	NM_018012
SMYD3	NM_022743
SMYD3	NM_001375962
LINC02593	NR_026874
LINC02593	NR_122045
PUSL1	NM_001346116
PUSL1	NR_144369
GNB1	NM_001282539
GNB1	NM_002074
VWA1	NM_022834
GNB1	NM_001282538
CDK11A	NM_024011
SSU72	NM_014188
CDK11A	NM_001313896
CDK11A	NR_132739
CFAP74	NM_001304360
VWA1	NM_199121
TTLL10	NM_001130045
TTLL10	NM_001371649
CDK11A	NM_001313982
CDK11A	NR_132740
CDK11A	NM_033529
PUSL1	NM_153339
PLCH2	NM_001303013
MORN1	NM_001301060
PLCH2	NM_014638
PLCH2	NM_001303012
MMEL1	NM_033467
TTC34	NM_001242672
MORN1	NM_024848
TP73	NM_005427
MEGF6	NM_001409
TP73	NM_001204186
TP73	NM_001204184
TP73	NM_001204188
TP73	NM_001204187
TP73	NM_001204185
AJAP1	NM_018836
AJAP1	NM_001042478
NPHP4	NM_001291593
KCNAB2	NM_172130
CHD5	NM_015557
NPHP4	NM_015102
KCNAB2	NM_001199861
NPHP4	NM_001291594
KCNAB2	NM_003636
NPHP4	NR_111987
CAMTA1	NM_001195563
NOL9	NM_024654
CAMTA1	NM_001349627
CAMTA1	NR_038934
CAMTA1	NM_001242701
DNAJC11	NM_018198
CAMTA1	NR_146204
CAMTA1	NR_146203
CAMTA1	NR_146202
CAMTA1	NM_001349614
CAMTA1	NM_001349626
CAMTA1	NM_001349625
CAMTA1	NM_001349624
CAMTA1	NM_001349623
CAMTA1	NM_001349622
CAMTA1	NM_001349613
CAMTA1	NM_001349621
CAMTA1	NM_001349619
CAMTA1	NM_001349620
CAMTA1	NM_001349618
CAMTA1	NM_001349617
CAMTA1	NM_001349616
CAMTA1	NM_001349615
MIR34AHG	NR_132742
SLC2A5	NM_001135585
SLC2A5	NM_001328619
SPSB1	NM_025106
SLC2A5	NM_001328621
SLC2A5	NM_001328620
SLC2A5	NM_003039
KIF1B	NM_183416
UBE4B	NM_001105562
PIK3CD	NM_005026
KIF1B	NM_015074
PIK3CD	NM_001350234
NMNAT1	NM_001297779
NMNAT1	NM_001297778
KIF1B	NM_001365952
NMNAT1	NM_022787
KIF1B	NM_001365951
SLC25A33	NM_032315
UBE4B	NM_006048
PIK3CD	NM_001350235
CASZ1	NM_001079843
MTOR	NM_004958
CASZ1	NM_017766
TNFRSF1B	NM_001066
VPS13D	NM_018156
FBXO6	NM_018438
VPS13D	NM_015378
MTHFR	NM_005957
MTHFR	NM_001330358
LRRC38	NM_001010847
PRAMEF19	NM_001099790
KAZN-AS1	NR_149058
PRDM2	NM_015866
PRDM2	NM_001007257
PRDM2	NM_012231
PRDM2	NM_001135610
TMEM51	NM_001136218
TMEM51	NM_001136217
TMEM51	NM_018022
FHAD1	NM_052929
FHAD1-AS1	NR_148918
KAZN	NM_001370231
KAZN	NM_001018000
FHAD1-AS1	NR_148919
TMEM51	NM_001136216
TMEM51	NM_001319665
CELA2A	NM_033440
KAZN	NM_001018001
KAZN	NM_001370229
TMEM51	NR_135082
MST1P2	NR_027504
SZRD1	NR_073501
SZRD1	NM_001271869
SPEN	NM_015001
SZRD1	NR_073503
SZRD1	NR_073502
SZRD1	NR_073500
FBXO42	NM_018994
SZRD1	NM_001114600
ARHGEF10L	NM_001011722
ARHGEF10L	NM_001319837
ARHGEF10L	NM_001328124
ARHGEF10L	NM_001319838
ARHGEF10L	NM_018125
SDHB	NM_003000
RCC2	NM_018715
RCC2	NM_001136204
ARHGEF10L	NR_137288
ARHGEF10L	NR_137287
KLHDC7A	NM_152375
PAX7	NM_001135254
IGSF21	NM_032880
AKR7L	NR_040288
TMCO4	NM_001349115
TMCO4	NM_001349113
CAPZB	NM_001206541
TMCO4	NM_181719
CAPZB	NM_001282162
CAPZB	NM_001206540
AKR7L	NM_001348421
TMCO4	NM_001349114
AKR7L	NR_040289
CAPZB	NM_004930
UBR4	NM_020765
CAPZB	NM_001313932
TMCO4	NM_001349112
UBXN10-AS1	NR_110078
KIF17	NM_020816
KIF17	NM_001122819
KIF17	NM_001287212
VWA5B1	NM_001039500
VWA5B1	NM_001377531
USP48	NM_001350168
ECE1	NM_001113347
RAP1GAP	NM_001330383
RAP1GAP	NM_001350528
RAP1GAP	NM_001350525
USP48	NM_001350166
ECE1	NM_001397
USP48	NM_001350164
USP48	NM_001330394
RAP1GAP	NM_001350527
RAP1GAP	NM_002885
RAP1GAP	NM_001145658
USP48	NM_001350167
RAP1GAP	NM_001350524
RAP1GAP	NM_001145657
USP48	NM_032236
ECE1	NM_001113349
HSPG2	NM_001291860
ECE1	NM_001113348
RAP1GAP	NM_001350526
HSPG2	NM_005529
USP48	NM_001032730
EPHB2	NM_001309192
EPHB2	NM_001309193
EPHB2	NM_004442
EPHB2	NM_017449
ASAP3	NM_001143778
ASAP3	NM_017707
HNRNPR	NM_001297620
HNRNPR	NM_001102399
HNRNPR	NM_005826
HNRNPR	NM_001297621
HNRNPR	NM_001102398
HNRNPR	NM_001297622
FUCA1	NM_000147
HNRNPR	NM_001102397
STPG1	NM_001199014
STPG1	NM_178122
STPG1	NM_001199012
STPG1	NM_001199013
RCAN3	NM_001251979
RCAN3	NM_001251984
RCAN3	NM_001251983
RUNX3	NM_004350
RCAN3	NM_001251978
RUNX3	NM_001031680
RCAN3	NM_013441
RCAN3	NM_001251977
CLIC4	NM_013943
RCAN3	NM_001251981
RUNX3	NM_001320672
RSRP1	NM_001321772
RSRP1	NR_135787
RSRP1	NR_135788
RSRP1	NR_135789
MTFR1L	NM_001099627
LOC646471	NR_024498
RHD	NM_001282870
RHD	NM_001282869
RHD	NM_001282868
LDLRAP1	NM_015627
MTFR1L	NM_019557
RHD	NM_001282867
MAN1C1	NM_001289010
MAN1C1	NM_020379
RHD	NM_001282872
RHD	NM_001127691
RHD	NM_001282871
RHD	NM_016124
MTFR1L	NM_001099626
MTFR1L	NM_001099625
ARID1A	NM_006015
SLC9A1	NR_046474
SLC9A1	NM_003047
ARID1A	NM_139135
HMGN2	NM_005517
TRNP1	NM_001013642
CRYBG2	NM_001039775
EYA3	NM_001990
STX12	NM_177424
PTAFR	NM_001164722
EYA3	NM_001282560
GPR3	NM_005281
EYA3	NM_001282561
PTAFR	NM_001164721
EYA3	NM_001282562
EYA3	NR_104214
PHACTR4	NM_001350161
TRNAU1AP	NR_003109
PHACTR4	NM_001350158
EPB41	NM_001166005
MECR	NM_016011
PHACTR4	NM_001048183
MECR	NM_001024732
GMEB1	NM_006582
TRNAU1AP	NM_017846
EPB41	NM_001166006
EPB41	NM_203342
EPB41	NM_203343
GMEB1	NM_001319674
PHACTR4	NM_001350159
MECR	NR_146214
MECR	NM_001349717
GMEB1	NM_024482
MECR	NM_001349716
MECR	NM_001349715
EPB41	NM_001166007
EPB41	NM_004437
MECR	NR_146213
MECR	NR_146212
MECR	NM_001349714
PHACTR4	NM_001350160
PHACTR4	NM_023923
MECR	NM_001349712
MECR	NM_001349711
MECR	NM_001349713
MECR	NR_146215
OPRD1	NM_000911
EPB41	NM_001376023
EPB41	NM_001376024
EPB41	NM_001376025
EPB41	NM_001376026
EPB41	NM_001376027
EPB41	NM_001376028
EPB41	NM_001376022
EPB41	NM_001376021
EPB41	NM_001376014
EPB41	NM_001376015
EPB41	NM_001376016
EPB41	NM_001376013
EPB41	NM_001376017
EPB41	NM_001376020
EPB41	NM_001376019
EPB41	NM_001376018
LINC01648	NR_110790
ZCCHC17	NM_001282574
NKAIN1	NM_024522
ZCCHC17	NM_016505
ZCCHC17	NM_001282567
ZCCHC17	NM_001282566
ZCCHC17	NM_001282570
ZCCHC17	NM_001282572
ZCCHC17	NM_001282571
ZCCHC17	NM_001282573
PUM1	NM_001020658
ZCCHC17	NM_001282568
ZCCHC17	NM_001282569
PUM1	NM_014676
BSDC1	NM_018045
BSDC1	NM_001143888
BSDC1	NM_001143889
BSDC1	NM_001143890
BSDC1	NR_125352
BSDC1	NM_001300958
KPNA6	NM_012316
ZBTB8OS	NM_001366264
ZBTB8OS	NM_001366269
ZBTB8OS	NM_001366270
ZBTB8OS	NM_001366271
ZBTB8OS	NR_158775
ZBTB8OS	NR_158776
ZBTB8OS	NR_158777
ZBTB8OS	NR_158778
ZBTB8OS	NR_158780
ZBTB8OS	NR_158782
ZBTB8OS	NR_158781
ZBTB8OS	NR_158779
