"biom_desc","circn","coordinates","gene","hallm","mm9_circ","prob_coding","refseqid","spliced_length","strand","HA_tr_2","X03_697_tr_2","X1R_tr_2","X3R_tr_2"
"amylo-alpha-1__6-glucosidase__4-alpha-glucanotransferase_","hsa_circ_0013293","chr1:100342013-100343384","AGL","_MYOGENESIS","none","0.196717915206123","NM_000642","nA","-",0,0,0.16244625871646,0
"solute_carrier_family_35_member_A3_","hsa_circ_0013298","chr1:100459092-100464971","SLC35A3","_GLYCOLYSIS","none","0.304181840132453","NM_001271684","nA","+",0,0,0.56856190550761,0
"major_facilitator_superfamily_domain_containing_14A_","unknown","chr1:100515464-100527505","MFSD14A","_GLYCOLYSIS","none","nA","NM_033055","nA","-",0,0,0.16244625871646,0
"major_facilitator_superfamily_domain_containing_14A_","hsa_circ_0000096","chr1:100515464-100535241","MFSD14A","_GLYCOLYSIS","none","0.947063128105728","NM_033055","nA","+",0,0,0.40611564679115,0.0693244361427662
"cell_division_cycle_14A_","hsa_circ_0000097","chr1:100889777-100908552","CDC14A","_KRAS_SIGNALING_UP","none","0.0180460277373207","NM_033313","nA","-",0,0,0,0.103986654214149
"solute_carrier_family_30_member_7_","hsa_circ_0000098","chr1:101372407-101387397","SLC30A7","_GLYCOLYSIS","none","0.836970084843078","NM_001144884","nA","-",0,0,0.56856190550761,0.103986654214149
"ubiquitination_factor_E4B_","hsa_circ_0005199","chr1:10155518-10165802","UBE4B","_UV_RESPONSE_DN","none","0.901204980505139","NM_001105562","nA","+",0,0,0.16244625871646,0.0693244361427662
"NaN","hsa_circ_0000099","chr1:104108056-104118162","unkn","_KRAS_SIGNALING_UP","none","0.999660140406541","NR_024438","nA","-",0,0,0,0.103986654214149
"phosphogluconate_dehydrogenase_","unknown","chr1:10463127-10464336","PGD","_XENOBIOTIC_METABOLISM","none","nA","NM_002631","nA","-",0,0,0.24366938807469,0
"centromere_protein_S_","hsa_circ_0006905","chr1:10500403-10502498","CENPS","_MTORC1_SIGNALING","none","0.0379863804135852","NM_199294","nA","+",0,0,0,0.138648872285532
"DNA_fragmentation_factor_subunit_alpha_","hsa_circ_0008936","chr1:10527246-10529395","DFFA","_APOPTOSIS","none","0.0302653808586115","NM_004401","nA","+",0.0762211621044236,0,0.24366938807469,0.0693244361427662
"vav_guanine_nucleotide_exchange_factor_3_","unknown","chr1:108138833-108185377","VAV3","_PI3K_AKT_MTOR_SIGNALING","none","nA","NM_001079874","nA","+",0,0,0.16244625871646,0
"vav_guanine_nucleotide_exchange_factor_3_","unknown","chr1:108185240-108247683","VAV3","_PI3K_AKT_MTOR_SIGNALING","none","nA","NM_001079874","nA","+",0,0,0.40611564679115,0.103986654214149
"vav_guanine_nucleotide_exchange_factor_3_","unknown","chr1:108226109-108247683","VAV3","_PI3K_AKT_MTOR_SIGNALING","none","nA","NM_001079874","nA","+",0,0,2.03057823395575,0.55459548914213
"solute_carrier_family_25_member_24_","hsa_circ_0004270","chr1:108690900-108703915","SLC25A24","_PI3K_AKT_MTOR_SIGNALING","none","0.772764576283711","NM_213651","nA","-",0.114331743156635,0,1.21834694037345,0.207973308428299
"solute_carrier_family_25_member_24_","unknown","chr1:108697604-108728576","SLC25A24","_PI3K_AKT_MTOR_SIGNALING","none","nA","NM_213651","nA","+",0,0,0.24366938807469,0
